,Movie,Winning probability
1,Jurassic World,0.206318809199
2,Mad Max: Fury Road,0.214328050147
3,Straight Outta Compton,0.237576909955
4,The Revenant,0.157195852987
5,Spotlight,0.1604186997
6,Spectre,0.197731765583
7,Mission: Impossible - Rogue Nation,0.163658897842
8,Avengers: Age of Ultron,0.390297111211
9,Furious 7,0.255719495143
10,The Hateful Eight,0.288675311056
11,Prem Ratan Dhan Payo,0.150637501534
12,The Martian,0.268729789154
13,Bridge of Spies,0.190262849761
14,Muhammad: The Messenger of God,0.324851124279
15,Dilwale,0.164822363909
